Fri Jul 31 18:13:58 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 9646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.64}
{'Time': 9750, 'Left_wheel_dist': 34, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.97}
{'Time': 9846, 'Left_wheel_dist': 89, 'Right_wheel_dist': -74, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.68}
{'Time': 9943, 'Left_wheel_dist': 141, 'Right_wheel_dist': -119, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77}
{'Time': 10049, 'Left_wheel_dist': 200, 'Right_wheel_dist': -172, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.85}
{'Time': 10145, 'Left_wheel_dist': 250, 'Right_wheel_dist': -222, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.76}
{'Time': 10243, 'Left_wheel_dist': 303, 'Right_wheel_dist': -268, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.81}
{'Time': 10349, 'Left_wheel_dist': 357, 'Right_wheel_dist': -320, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.70}
{'Time': 10446, 'Left_wheel_dist': 409, 'Right_wheel_dist': -370, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.76}
{'Time': 10544, 'Left_wheel_dist': 462, 'Right_wheel_dist': -423, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.71}
{'Time': 10650, 'Left_wheel_dist': 518, 'Right_wheel_dist': -473, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.69}
