Fri Jul 31 17:32:35 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 11950, 'Left_wheel_dist': -974, 'Right_wheel_dist': -1116, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.78}
{'Time': 12046, 'Left_wheel_dist': -972, 'Right_wheel_dist': -1166, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.36}
{'Time': 12151, 'Left_wheel_dist': -1013, 'Right_wheel_dist': -1218, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.81}
{'Time': 12249, 'Left_wheel_dist': -1064, 'Right_wheel_dist': -1264, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.70}
{'Time': 12345, 'Left_wheel_dist': -1116, 'Right_wheel_dist': -1310, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.87}
{'Time': 12451, 'Left_wheel_dist': -1168, 'Right_wheel_dist': -1371, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.77}
{'Time': 12549, 'Left_wheel_dist': -1221, 'Right_wheel_dist': -1421, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.78}
{'Time': 12645, 'Left_wheel_dist': -1271, 'Right_wheel_dist': -1465, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.92}
{'Time': 12750, 'Left_wheel_dist': -1327, 'Right_wheel_dist': -1513, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.68}
{'Time': 12848, 'Left_wheel_dist': -1378, 'Right_wheel_dist': -1565, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.81}
{'Time': 12945, 'Left_wheel_dist': -1426, 'Right_wheel_dist': -1615, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.67}
{'Time': 13051, 'Left_wheel_dist': -1482, 'Right_wheel_dist': -1665, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.84}
{'Time': 13149, 'Left_wheel_dist': -1530, 'Right_wheel_dist': -1713, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.92}
{'Time': 13246, 'Left_wheel_dist': -1583, 'Right_wheel_dist': -1766, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.66}
{'Time': 13351, 'Left_wheel_dist': -1635, 'Right_wheel_dist': -1820, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.85}
{'Time': 13449, 'Left_wheel_dist': -1689, 'Right_wheel_dist': -1866, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 13546, 'Left_wheel_dist': -1737, 'Right_wheel_dist': -1912, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.77}
{'Time': 13652, 'Left_wheel_dist': -1794, 'Right_wheel_dist': -1969, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.85}
{'Time': 13749, 'Left_wheel_dist': -1842, 'Right_wheel_dist': -2017, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.83}
{'Time': 13846, 'Left_wheel_dist': -1894, 'Right_wheel_dist': -2062, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.73}
{'Time': 13952, 'Left_wheel_dist': -1945, 'Right_wheel_dist': -2117, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.74}
{'Time': 14048, 'Left_wheel_dist': -1999, 'Right_wheel_dist': -2169, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.86}
