Fri Jul 31 19:32:53 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 11948, 'Left_wheel_dist': -955, 'Right_wheel_dist': 1155, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 0.85, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 13.28}
{'Time': 12046, 'Left_wheel_dist': -955, 'Right_wheel_dist': 1210, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 0.93, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 8.88}
{'Time': 12151, 'Left_wheel_dist': -981, 'Right_wheel_dist': 1262, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 1.00, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -1.35, 'IMU_Acc_z': 11.55}
{'Time': 12249, 'Left_wheel_dist': -1018, 'Right_wheel_dist': 1314, 'IMU_roll': -0.07, 'IMU_pitch': 0.02, 'IMU_yaw': 1.02, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': -1.03, 'IMU_Acc_z': 12.03}
{'Time': 12354, 'Left_wheel_dist': -1072, 'Right_wheel_dist': 1378, 'IMU_roll': -0.06, 'IMU_pitch': 0.01, 'IMU_yaw': 1.03, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 10.10}
{'Time': 12451, 'Left_wheel_dist': -1120, 'Right_wheel_dist': 1434, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 1.03, 'IMU_Acc_x': -0.25, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 12.96}
{'Time': 12549, 'Left_wheel_dist': -1175, 'Right_wheel_dist': 1484, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 1.04, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 9.21}
{'Time': 12655, 'Left_wheel_dist': -1232, 'Right_wheel_dist': 1548, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.04, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 8.51}
{'Time': 12752, 'Left_wheel_dist': -1284, 'Right_wheel_dist': 1604, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.05, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 11.17}
{'Time': 12850, 'Left_wheel_dist': -1336, 'Right_wheel_dist': 1657, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.06, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.80}
{'Time': 12948, 'Left_wheel_dist': -1386, 'Right_wheel_dist': 1711, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.07, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 10.18}
{'Time': 13053, 'Left_wheel_dist': -1441, 'Right_wheel_dist': 1777, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.07, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 8.68}
{'Time': 13150, 'Left_wheel_dist': -1491, 'Right_wheel_dist': 1829, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.08, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 10.42}
{'Time': 13248, 'Left_wheel_dist': -1541, 'Right_wheel_dist': 1881, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.08, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 12.31}
{'Time': 13355, 'Left_wheel_dist': -1596, 'Right_wheel_dist': 1940, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.09, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 8.78}
{'Time': 13451, 'Left_wheel_dist': -1650, 'Right_wheel_dist': 1995, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.09, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 11.50}
{'Time': 13548, 'Left_wheel_dist': -1698, 'Right_wheel_dist': 2047, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 1.10, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 11.40}
{'Time': 13654, 'Left_wheel_dist': -1755, 'Right_wheel_dist': 2106, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 1.10, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.49, 'IMU_Acc_z': 10.15}
