Fri Jul 31 16:48:13 2020
Program 0: 10s Stillstand
{'Time': 11948, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 12048, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77}
{'Time': 12149, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.79}
{'Time': 12250, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.74}
{'Time': 12350, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 12450, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.76}
{'Time': 12544, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.75}
{'Time': 12643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 12744, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74}
{'Time': 12845, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.77}
{'Time': 12945, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 13045, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.75}
{'Time': 13146, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 13246, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.80}
{'Time': 13347, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.79}
{'Time': 13449, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.77}
{'Time': 13549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 13649, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.75}
{'Time': 13750, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.73}
{'Time': 13851, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78}
{'Time': 13952, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.75}
{'Time': 14051, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.76}
{'Time': 14151, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.74}
{'Time': 14244, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.75}
{'Time': 14345, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.76}
{'Time': 14445, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.77}
{'Time': 14545, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.76}
{'Time': 14646, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77}
{'Time': 14747, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.76}
