Fri Jul 31 17:33:56 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 9648, 'Left_wheel_dist': 13, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.74}
{'Time': 9743, 'Left_wheel_dist': -10, 'Right_wheel_dist': -26, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 10.25}
{'Time': 9848, 'Left_wheel_dist': -34, 'Right_wheel_dist': -69, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.26}
{'Time': 9945, 'Left_wheel_dist': -41, 'Right_wheel_dist': -115, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.80, 'IMU_Acc_z': 9.46}
{'Time': 10050, 'Left_wheel_dist': -45, 'Right_wheel_dist': -170, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.87, 'IMU_Acc_z': 10.20}
{'Time': 10147, 'Left_wheel_dist': -39, 'Right_wheel_dist': -215, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 10.03}
{'Time': 10244, 'Left_wheel_dist': -47, 'Right_wheel_dist': -261, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.90}
{'Time': 10349, 'Left_wheel_dist': -82, 'Right_wheel_dist': -316, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.75}
{'Time': 10446, 'Left_wheel_dist': -130, 'Right_wheel_dist': -368, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.71}
{'Time': 10545, 'Left_wheel_dist': -191, 'Right_wheel_dist': -416, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.84}
{'Time': 10651, 'Left_wheel_dist': -252, 'Right_wheel_dist': -464, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.76}
