Fri Jul 31 17:39:25 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 11953, 'Left_wheel_dist': -1190, 'Right_wheel_dist': -1118, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.84}
{'Time': 12049, 'Left_wheel_dist': -1238, 'Right_wheel_dist': -1168, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.70}
{'Time': 12146, 'Left_wheel_dist': -1288, 'Right_wheel_dist': -1218, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.72}
{'Time': 12253, 'Left_wheel_dist': -1343, 'Right_wheel_dist': -1269, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.73}
{'Time': 12348, 'Left_wheel_dist': -1395, 'Right_wheel_dist': -1314, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.85}
{'Time': 12445, 'Left_wheel_dist': -1441, 'Right_wheel_dist': -1367, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.71}
{'Time': 12552, 'Left_wheel_dist': -1498, 'Right_wheel_dist': -1423, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.71}
{'Time': 12649, 'Left_wheel_dist': -1543, 'Right_wheel_dist': -1469, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.78}
{'Time': 12746, 'Left_wheel_dist': -1593, 'Right_wheel_dist': -1515, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.85}
{'Time': 12852, 'Left_wheel_dist': -1644, 'Right_wheel_dist': -1570, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84}
