Fri Jul 31 19:27:54 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9652, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 0.71, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 9.63}
{'Time': 9747, 'Left_wheel_dist': -21, 'Right_wheel_dist': -15, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 0.70, 'IMU_Acc_x': -2.74, 'IMU_Acc_y': -0.89, 'IMU_Acc_z': 6.17}
{'Time': 9844, 'Left_wheel_dist': -61, 'Right_wheel_dist': -47, 'IMU_roll': -0.07, 'IMU_pitch': -0.05, 'IMU_yaw': 0.68, 'IMU_Acc_x': -0.87, 'IMU_Acc_y': -1.05, 'IMU_Acc_z': 7.01}
{'Time': 9951, 'Left_wheel_dist': -106, 'Right_wheel_dist': -100, 'IMU_roll': -0.06, 'IMU_pitch': -0.03, 'IMU_yaw': 0.66, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 12.14}
{'Time': 10048, 'Left_wheel_dist': -152, 'Right_wheel_dist': -143, 'IMU_roll': -0.07, 'IMU_pitch': -0.02, 'IMU_yaw': 0.65, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.84, 'IMU_Acc_z': 9.52}
{'Time': 10145, 'Left_wheel_dist': -200, 'Right_wheel_dist': -189, 'IMU_roll': -0.08, 'IMU_pitch': -0.02, 'IMU_yaw': 0.63, 'IMU_Acc_x': -0.43, 'IMU_Acc_y': -0.50, 'IMU_Acc_z': 7.21}
{'Time': 10250, 'Left_wheel_dist': -257, 'Right_wheel_dist': -242, 'IMU_roll': -0.07, 'IMU_pitch': 0.00, 'IMU_yaw': 0.62, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 6.82}
{'Time': 10347, 'Left_wheel_dist': -307, 'Right_wheel_dist': -294, 'IMU_roll': -0.07, 'IMU_pitch': 0.01, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 8.42}
{'Time': 10444, 'Left_wheel_dist': -361, 'Right_wheel_dist': -344, 'IMU_roll': -0.07, 'IMU_pitch': 0.01, 'IMU_yaw': 0.60, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.63, 'IMU_Acc_z': 12.25}
{'Time': 10550, 'Left_wheel_dist': -420, 'Right_wheel_dist': -396, 'IMU_roll': -0.06, 'IMU_pitch': 0.01, 'IMU_yaw': 0.59, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 7.82}
{'Time': 10647, 'Left_wheel_dist': -471, 'Right_wheel_dist': -449, 'IMU_roll': -0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 0.58, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.45, 'IMU_Acc_z': 9.52}
