Fri Jul 31 16:49:40 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9671, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.54}
{'Time': 9766, 'Left_wheel_dist': -32, 'Right_wheel_dist': -26, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.13, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.97}
{'Time': 9872, 'Left_wheel_dist': -87, 'Right_wheel_dist': -71, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.66}
{'Time': 9969, 'Left_wheel_dist': -141, 'Right_wheel_dist': -117, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.12, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.85}
{'Time': 10066, 'Left_wheel_dist': -196, 'Right_wheel_dist': -167, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77}
{'Time': 10172, 'Left_wheel_dist': -250, 'Right_wheel_dist': -224, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.74}
{'Time': 10269, 'Left_wheel_dist': -305, 'Right_wheel_dist': -272, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.77}
{'Time': 10375, 'Left_wheel_dist': -357, 'Right_wheel_dist': -320, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74}
{'Time': 10471, 'Left_wheel_dist': -412, 'Right_wheel_dist': -368, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.93}
{'Time': 10568, 'Left_wheel_dist': -460, 'Right_wheel_dist': -418, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.72}
{'Time': 10675, 'Left_wheel_dist': -518, 'Right_wheel_dist': -468, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.80}
