Fri Jul 31 17:31:23 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 11953, 'Left_wheel_dist': -1190, 'Right_wheel_dist': -1096, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.62}
{'Time': 12059, 'Left_wheel_dist': -1249, 'Right_wheel_dist': -1149, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.92}
{'Time': 12156, 'Left_wheel_dist': -1295, 'Right_wheel_dist': -1199, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.79}
{'Time': 12254, 'Left_wheel_dist': -1347, 'Right_wheel_dist': -1247, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.85}
{'Time': 12352, 'Left_wheel_dist': -1393, 'Right_wheel_dist': -1295, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.74}
{'Time': 12460, 'Left_wheel_dist': -1450, 'Right_wheel_dist': -1349, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.77}
{'Time': 12556, 'Left_wheel_dist': -1498, 'Right_wheel_dist': -1402, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.76}
{'Time': 12652, 'Left_wheel_dist': -1548, 'Right_wheel_dist': -1447, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.75}
{'Time': 12759, 'Left_wheel_dist': -1602, 'Right_wheel_dist': -1498, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.87}
{'Time': 12855, 'Left_wheel_dist': -1650, 'Right_wheel_dist': -1543, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.82}
{'Time': 12952, 'Left_wheel_dist': -1698, 'Right_wheel_dist': -1596, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.77}
{'Time': 13059, 'Left_wheel_dist': -1753, 'Right_wheel_dist': -1648, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.82}
{'Time': 13154, 'Left_wheel_dist': -1798, 'Right_wheel_dist': -1694, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.74}
{'Time': 13260, 'Left_wheel_dist': -1853, 'Right_wheel_dist': -1748, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.74}
{'Time': 13358, 'Left_wheel_dist': -1899, 'Right_wheel_dist': -1803, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.88}
{'Time': 13454, 'Left_wheel_dist': -1949, 'Right_wheel_dist': -1849, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.71}
{'Time': 13560, 'Left_wheel_dist': -2003, 'Right_wheel_dist': -1899, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.86}
{'Time': 13657, 'Left_wheel_dist': -2054, 'Right_wheel_dist': -1947, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.78}
{'Time': 13752, 'Left_wheel_dist': -2099, 'Right_wheel_dist': -1997, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.78}
{'Time': 13858, 'Left_wheel_dist': -2154, 'Right_wheel_dist': -2047, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.77}
{'Time': 13956, 'Left_wheel_dist': -2202, 'Right_wheel_dist': -2095, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 14053, 'Left_wheel_dist': -2250, 'Right_wheel_dist': -2150, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.87}
{'Time': 14160, 'Left_wheel_dist': -2304, 'Right_wheel_dist': -2206, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.72}
{'Time': 14257, 'Left_wheel_dist': -2352, 'Right_wheel_dist': -2252, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.87}
{'Time': 14353, 'Left_wheel_dist': -2402, 'Right_wheel_dist': -2296, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.67}
{'Time': 14459, 'Left_wheel_dist': -2455, 'Right_wheel_dist': -2350, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.89}
{'Time': 14557, 'Left_wheel_dist': -2505, 'Right_wheel_dist': -2400, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.69}
{'Time': 14654, 'Left_wheel_dist': -2551, 'Right_wheel_dist': -2446, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79}
{'Time': 14760, 'Left_wheel_dist': -2605, 'Right_wheel_dist': -2496, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.87}
{'Time': 14857, 'Left_wheel_dist': -2653, 'Right_wheel_dist': -2551, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.77}
{'Time': 14954, 'Left_wheel_dist': -2703, 'Right_wheel_dist': -2601, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.83}
{'Time': 15060, 'Left_wheel_dist': -2756, 'Right_wheel_dist': -2651, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.87}
{'Time': 15157, 'Left_wheel_dist': -2806, 'Right_wheel_dist': -2695, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.77}
{'Time': 15255, 'Left_wheel_dist': -2852, 'Right_wheel_dist': -2747, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 15362, 'Left_wheel_dist': -2908, 'Right_wheel_dist': -2802, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.74}
{'Time': 15458, 'Left_wheel_dist': -2952, 'Right_wheel_dist': -2847, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.89}
{'Time': 15555, 'Left_wheel_dist': -3002, 'Right_wheel_dist': -2895, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.90}
{'Time': 15662, 'Left_wheel_dist': -3052, 'Right_wheel_dist': -2954, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.75}
{'Time': 15758, 'Left_wheel_dist': -3105, 'Right_wheel_dist': -3002, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.74}
{'Time': 15855, 'Left_wheel_dist': -3150, 'Right_wheel_dist': -3048, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.67}
{'Time': 15962, 'Left_wheel_dist': -3207, 'Right_wheel_dist': -3098, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.85}
{'Time': 16058, 'Left_wheel_dist': -3253, 'Right_wheel_dist': -3150, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.79}
{'Time': 16163, 'Left_wheel_dist': -3307, 'Right_wheel_dist': -3203, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.82}
{'Time': 16261, 'Left_wheel_dist': -3353, 'Right_wheel_dist': -3249, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.81}
{'Time': 16357, 'Left_wheel_dist': -3403, 'Right_wheel_dist': -3297, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.63}
{'Time': 16463, 'Left_wheel_dist': -3454, 'Right_wheel_dist': -3355, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.79}
{'Time': 16561, 'Left_wheel_dist': -3506, 'Right_wheel_dist': -3403, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.74}
