Fri Jul 31 19:15:19 2020
Program 0: 10s Stillstand
{'Time': 11949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.77}
{'Time': 12049, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.74}
{'Time': 12150, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.78}
{'Time': 12253, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.76}
{'Time': 12354, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.78}
{'Time': 12455, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.77}
{'Time': 12549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.78}
{'Time': 12650, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.76}
{'Time': 12751, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.77}
{'Time': 12853, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.81}
{'Time': 12954, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78}
{'Time': 13056, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.79}
{'Time': 13149, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.81}
{'Time': 13250, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.80}
{'Time': 13351, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.78}
{'Time': 13453, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.79}
{'Time': 13554, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77}
{'Time': 13656, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.76}
{'Time': 13749, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.78}
{'Time': 13850, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.80}
{'Time': 13952, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.74}
{'Time': 14053, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.78}
{'Time': 14154, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.60, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.76}
{'Time': 14256, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.78}
{'Time': 14349, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.81}
{'Time': 14450, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.78}
{'Time': 14552, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77}
{'Time': 14654, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.77}
{'Time': 14755, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.77}
{'Time': 14857, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77}
{'Time': 14950, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.76}
{'Time': 15051, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77}
{'Time': 15153, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.77}
