Fri Jul 31 18:51:15 2020
Program 0: 10s Stillstand
{'Time': 11949, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.75}
{'Time': 12049, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.74}
{'Time': 12150, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78}
{'Time': 12253, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.78}
{'Time': 12354, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 12446, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.80}
{'Time': 12549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.77}
{'Time': 12650, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.77}
{'Time': 12751, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.76}
{'Time': 12853, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.74}
