Fri Jul 31 18:53:13 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 11948, 'Left_wheel_dist': -950, 'Right_wheel_dist': -1077, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.84, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 10.89}
{'Time': 12052, 'Left_wheel_dist': -950, 'Right_wheel_dist': -1129, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 5.93, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': 0.88, 'IMU_Acc_z': 8.21}
{'Time': 12149, 'Left_wheel_dist': -976, 'Right_wheel_dist': -1177, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 5.97, 'IMU_Acc_x': -0.77, 'IMU_Acc_y': -1.07, 'IMU_Acc_z': 13.28}
{'Time': 12248, 'Left_wheel_dist': -1013, 'Right_wheel_dist': -1225, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 6.00, 'IMU_Acc_x': -0.40, 'IMU_Acc_y': -1.15, 'IMU_Acc_z': 11.99}
{'Time': 12355, 'Left_wheel_dist': -1070, 'Right_wheel_dist': -1277, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 12.30}
{'Time': 12452, 'Left_wheel_dist': -1118, 'Right_wheel_dist': -1332, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 6.02, 'IMU_Acc_x': -1.63, 'IMU_Acc_y': -0.74, 'IMU_Acc_z': 10.51}
{'Time': 12550, 'Left_wheel_dist': -1170, 'Right_wheel_dist': -1384, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 6.02, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 2.32}
{'Time': 12656, 'Left_wheel_dist': -1223, 'Right_wheel_dist': -1434, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 6.02, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 10.41}
{'Time': 12753, 'Left_wheel_dist': -1275, 'Right_wheel_dist': -1480, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 6.02, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.20}
{'Time': 12850, 'Left_wheel_dist': -1323, 'Right_wheel_dist': -1532, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 6.02, 'IMU_Acc_x': -0.18, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 18.87}
{'Time': 12956, 'Left_wheel_dist': -1382, 'Right_wheel_dist': -1585, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 6.03, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 8.19}
{'Time': 13053, 'Left_wheel_dist': -1434, 'Right_wheel_dist': -1633, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 6.02, 'IMU_Acc_x': -0.32, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.50}
{'Time': 13151, 'Left_wheel_dist': -1487, 'Right_wheel_dist': -1681, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 6.02, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 7.70}
{'Time': 13249, 'Left_wheel_dist': -1537, 'Right_wheel_dist': -1735, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 6.02, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 14.96}
{'Time': 13356, 'Left_wheel_dist': -1591, 'Right_wheel_dist': -1788, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 6.01, 'IMU_Acc_x': -0.00, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.40}
{'Time': 13452, 'Left_wheel_dist': -1641, 'Right_wheel_dist': -1833, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 6.01, 'IMU_Acc_x': 3.29, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 29.21}
{'Time': 13549, 'Left_wheel_dist': -1689, 'Right_wheel_dist': -1877, 'IMU_roll': -0.08, 'IMU_pitch': -0.00, 'IMU_yaw': 6.01, 'IMU_Acc_x': -0.30, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': -1.01}
{'Time': 13655, 'Left_wheel_dist': -1746, 'Right_wheel_dist': -1931, 'IMU_roll': -0.06, 'IMU_pitch': -0.00, 'IMU_yaw': 6.01, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 10.45}
{'Time': 13751, 'Left_wheel_dist': -1796, 'Right_wheel_dist': -1979, 'IMU_roll': -0.05, 'IMU_pitch': -0.00, 'IMU_yaw': 6.00, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 10.85}
{'Time': 13857, 'Left_wheel_dist': -1855, 'Right_wheel_dist': -2032, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 17.32}
{'Time': 13955, 'Left_wheel_dist': -1903, 'Right_wheel_dist': -2080, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 5.99, 'IMU_Acc_x': -0.53, 'IMU_Acc_y': -0.42, 'IMU_Acc_z': 7.80}
