Fri Jul 31 19:10:26 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.62, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 9.58}
{'Time': 9748, 'Left_wheel_dist': -23, 'Right_wheel_dist': 15, 'IMU_roll': -0.06, 'IMU_pitch': -0.05, 'IMU_yaw': 0.61, 'IMU_Acc_x': -2.62, 'IMU_Acc_y': -0.82, 'IMU_Acc_z': 8.00}
{'Time': 9854, 'Left_wheel_dist': -65, 'Right_wheel_dist': 54, 'IMU_roll': -0.06, 'IMU_pitch': -0.05, 'IMU_yaw': 0.59, 'IMU_Acc_x': -1.12, 'IMU_Acc_y': -0.62, 'IMU_Acc_z': 9.14}
{'Time': 9951, 'Left_wheel_dist': -113, 'Right_wheel_dist': 91, 'IMU_roll': -0.07, 'IMU_pitch': -0.03, 'IMU_yaw': 0.56, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 9.27}
{'Time': 10048, 'Left_wheel_dist': -161, 'Right_wheel_dist': 133, 'IMU_roll': -0.05, 'IMU_pitch': -0.03, 'IMU_yaw': 0.54, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 11.68}
{'Time': 10153, 'Left_wheel_dist': -215, 'Right_wheel_dist': 180, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 0.53, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 6.42}
{'Time': 10250, 'Left_wheel_dist': -266, 'Right_wheel_dist': 233, 'IMU_roll': -0.06, 'IMU_pitch': -0.01, 'IMU_yaw': 0.53, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 13.56}
{'Time': 10356, 'Left_wheel_dist': -324, 'Right_wheel_dist': 292, 'IMU_roll': -0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 0.52, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 14.39}
{'Time': 10454, 'Left_wheel_dist': -375, 'Right_wheel_dist': 211, 'IMU_roll': -0.07, 'IMU_pitch': 0.02, 'IMU_yaw': 0.52, 'IMU_Acc_x': 1.91, 'IMU_Acc_y': -2.79, 'IMU_Acc_z': 7.69}
{'Time': 10549, 'Left_wheel_dist': -427, 'Right_wheel_dist': 58, 'IMU_roll': -0.12, 'IMU_pitch': 0.05, 'IMU_yaw': 0.49, 'IMU_Acc_x': 1.17, 'IMU_Acc_y': -2.49, 'IMU_Acc_z': 9.80}
{'Time': 10654, 'Left_wheel_dist': -477, 'Right_wheel_dist': 54, 'IMU_roll': -0.10, 'IMU_pitch': 0.02, 'IMU_yaw': 0.45, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 13.81}
{'Time': 10752, 'Left_wheel_dist': -529, 'Right_wheel_dist': 61, 'IMU_roll': -0.06, 'IMU_pitch': -0.01, 'IMU_yaw': 0.41, 'IMU_Acc_x': -1.00, 'IMU_Acc_y': 1.00, 'IMU_Acc_z': 8.29}
{'Time': 10848, 'Left_wheel_dist': -577, 'Right_wheel_dist': 23, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 0.39, 'IMU_Acc_x': -0.44, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 9.81}
{'Time': 10954, 'Left_wheel_dist': -636, 'Right_wheel_dist': -21, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 0.36, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 11.49}
{'Time': 11052, 'Left_wheel_dist': -689, 'Right_wheel_dist': -67, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 0.35, 'IMU_Acc_x': -0.44, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 9.39}
{'Time': 11149, 'Left_wheel_dist': -741, 'Right_wheel_dist': -113, 'IMU_roll': -0.05, 'IMU_pitch': -0.00, 'IMU_yaw': 0.34, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 9.80}
