Fri Jul 31 18:50:35 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 11949, 'Left_wheel_dist': -1168, 'Right_wheel_dist': -1081, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.96, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 12.86}
{'Time': 12045, 'Left_wheel_dist': -1216, 'Right_wheel_dist': -1129, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.96, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.50, 'IMU_Acc_z': 9.94}
{'Time': 12150, 'Left_wheel_dist': -1273, 'Right_wheel_dist': -1179, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.95, 'IMU_Acc_x': -0.24, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 7.42}
{'Time': 12248, 'Left_wheel_dist': -1321, 'Right_wheel_dist': -1229, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.95, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 2.26}
{'Time': 12345, 'Left_wheel_dist': -1371, 'Right_wheel_dist': -1282, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.94, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 11.50}
{'Time': 12451, 'Left_wheel_dist': -1426, 'Right_wheel_dist': -1338, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.94, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': 0.56, 'IMU_Acc_z': 10.26}
{'Time': 12549, 'Left_wheel_dist': -1478, 'Right_wheel_dist': -1382, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.93, 'IMU_Acc_x': 2.72, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 27.10}
{'Time': 12645, 'Left_wheel_dist': -1524, 'Right_wheel_dist': -1428, 'IMU_roll': -0.04, 'IMU_pitch': -0.02, 'IMU_yaw': 5.93, 'IMU_Acc_x': -0.65, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 3.95}
{'Time': 12750, 'Left_wheel_dist': -1578, 'Right_wheel_dist': -1480, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 5.93, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 13.67}
{'Time': 12848, 'Left_wheel_dist': -1624, 'Right_wheel_dist': -1528, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.40, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 8.17}
