Fri Jul 31 17:32:06 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 11956, 'Left_wheel_dist': 1216, 'Right_wheel_dist': -1118, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.78}
{'Time': 12052, 'Left_wheel_dist': 1262, 'Right_wheel_dist': -1170, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.85}
{'Time': 12150, 'Left_wheel_dist': 1314, 'Right_wheel_dist': -1223, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.78}
{'Time': 12256, 'Left_wheel_dist': 1367, 'Right_wheel_dist': -1271, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.84}
{'Time': 12353, 'Left_wheel_dist': 1419, 'Right_wheel_dist': -1317, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.68}
{'Time': 12450, 'Left_wheel_dist': 1467, 'Right_wheel_dist': -1367, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.74}
{'Time': 12555, 'Left_wheel_dist': 1522, 'Right_wheel_dist': -1419, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.82}
{'Time': 12652, 'Left_wheel_dist': 1567, 'Right_wheel_dist': -1467, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.75}
{'Time': 12759, 'Left_wheel_dist': 1624, 'Right_wheel_dist': -1517, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.83}
{'Time': 12855, 'Left_wheel_dist': 1670, 'Right_wheel_dist': -1570, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.74}
{'Time': 12952, 'Left_wheel_dist': 1722, 'Right_wheel_dist': -1622, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.73}
{'Time': 13058, 'Left_wheel_dist': 1774, 'Right_wheel_dist': -1670, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88}
{'Time': 13154, 'Left_wheel_dist': 1825, 'Right_wheel_dist': -1716, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.71}
{'Time': 13251, 'Left_wheel_dist': 1875, 'Right_wheel_dist': -1766, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.85}
{'Time': 13358, 'Left_wheel_dist': 1927, 'Right_wheel_dist': -1820, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.80}
{'Time': 13454, 'Left_wheel_dist': 1975, 'Right_wheel_dist': -1866, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.67}
{'Time': 13551, 'Left_wheel_dist': 2023, 'Right_wheel_dist': -1912, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.87}
{'Time': 13657, 'Left_wheel_dist': 2075, 'Right_wheel_dist': -1969, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.70}
{'Time': 13753, 'Left_wheel_dist': 2123, 'Right_wheel_dist': -2019, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.85}
{'Time': 13859, 'Left_wheel_dist': 2180, 'Right_wheel_dist': -2069, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.74}
{'Time': 13957, 'Left_wheel_dist': 2228, 'Right_wheel_dist': -2112, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.76}
{'Time': 14053, 'Left_wheel_dist': 2278, 'Right_wheel_dist': -2163, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.72}
{'Time': 14158, 'Left_wheel_dist': 2328, 'Right_wheel_dist': -2217, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.68}
{'Time': 14256, 'Left_wheel_dist': 2378, 'Right_wheel_dist': -2265, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.83}
{'Time': 14352, 'Left_wheel_dist': 2426, 'Right_wheel_dist': -2311, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 14458, 'Left_wheel_dist': 2481, 'Right_wheel_dist': -2372, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.85}
{'Time': 14556, 'Left_wheel_dist': 2527, 'Right_wheel_dist': -2420, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.84}
{'Time': 14652, 'Left_wheel_dist': 2579, 'Right_wheel_dist': -2466, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.76}
{'Time': 14757, 'Left_wheel_dist': 2631, 'Right_wheel_dist': -2516, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.85}
{'Time': 14855, 'Left_wheel_dist': 2682, 'Right_wheel_dist': -2566, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.75}
