Fri Jul 31 17:33:17 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 11945, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.80}
{'Time': 12048, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.75}
{'Time': 12152, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.86}
{'Time': 12247, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.55}
{'Time': 12351, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.82}
{'Time': 12454, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.68}
{'Time': 12550, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.62}
{'Time': 12652, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.83}
{'Time': 12747, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.74}
{'Time': 12852, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.81}
{'Time': 12954, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.75}
{'Time': 13049, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.82}
{'Time': 13151, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.85}
{'Time': 13254, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.75}
{'Time': 13348, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.87}
{'Time': 13451, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.79}
{'Time': 13553, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.80}
{'Time': 13648, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.79}
{'Time': 13750, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.80}
{'Time': 13852, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.74}
{'Time': 13947, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.77}
{'Time': 14051, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.73}
{'Time': 14153, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.77}
{'Time': 14247, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80}
{'Time': 14349, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.75}
{'Time': 14451, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.82}
{'Time': 14555, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.80}
{'Time': 14647, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.85}
{'Time': 14751, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.79}
{'Time': 14854, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.79}
{'Time': 14948, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.82}
{'Time': 15050, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.85}
{'Time': 15154, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.79}
{'Time': 15256, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.73}
