Fri Jul 31 19:11:54 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 11955, 'Left_wheel_dist': 1157, 'Right_wheel_dist': 1146, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 2.76, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 13.15}
{'Time': 12052, 'Left_wheel_dist': 1208, 'Right_wheel_dist': 1205, 'IMU_roll': 0.06, 'IMU_pitch': 0.19, 'IMU_yaw': 2.93, 'IMU_Acc_x': 1.73, 'IMU_Acc_y': 0.57, 'IMU_Acc_z': 8.20}
{'Time': 12149, 'Left_wheel_dist': 1253, 'Right_wheel_dist': 1260, 'IMU_roll': 0.03, 'IMU_pitch': 0.18, 'IMU_yaw': 3.10, 'IMU_Acc_x': 1.98, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 9.31}
{'Time': 12255, 'Left_wheel_dist': 1308, 'Right_wheel_dist': 1310, 'IMU_roll': 0.07, 'IMU_pitch': 0.15, 'IMU_yaw': 3.28, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': 0.53, 'IMU_Acc_z': 8.73}
{'Time': 12352, 'Left_wheel_dist': 1356, 'Right_wheel_dist': 1356, 'IMU_roll': 0.07, 'IMU_pitch': 0.15, 'IMU_yaw': 3.44, 'IMU_Acc_x': 2.10, 'IMU_Acc_y': 1.32, 'IMU_Acc_z': 9.63}
{'Time': 12449, 'Left_wheel_dist': 1404, 'Right_wheel_dist': 1406, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 3.61, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 7.18}
{'Time': 12555, 'Left_wheel_dist': 1456, 'Right_wheel_dist': 1458, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 3.76, 'IMU_Acc_x': 1.54, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 8.86}
{'Time': 12652, 'Left_wheel_dist': 1508, 'Right_wheel_dist': 1502, 'IMU_roll': 0.07, 'IMU_pitch': 0.11, 'IMU_yaw': 3.93, 'IMU_Acc_x': 0.83, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 8.54}
{'Time': 12748, 'Left_wheel_dist': 1556, 'Right_wheel_dist': 1548, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 4.09, 'IMU_Acc_x': 1.47, 'IMU_Acc_y': 0.81, 'IMU_Acc_z': 7.73}
{'Time': 12853, 'Left_wheel_dist': 1613, 'Right_wheel_dist': 1600, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 4.24, 'IMU_Acc_x': 0.86, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 11.52}
{'Time': 12950, 'Left_wheel_dist': 1661, 'Right_wheel_dist': 1650, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 4.39, 'IMU_Acc_x': 0.99, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 12.79}
{'Time': 13057, 'Left_wheel_dist': 1716, 'Right_wheel_dist': 1698, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 4.56, 'IMU_Acc_x': 0.95, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.58}
{'Time': 13152, 'Left_wheel_dist': 1764, 'Right_wheel_dist': 1740, 'IMU_roll': 0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 4.70, 'IMU_Acc_x': 0.65, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 11.74}
{'Time': 13257, 'Left_wheel_dist': 1820, 'Right_wheel_dist': 1790, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 4.86, 'IMU_Acc_x': 1.15, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 12.52}
{'Time': 13355, 'Left_wheel_dist': 1870, 'Right_wheel_dist': 1840, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': 0.59, 'IMU_Acc_z': 5.00}
{'Time': 13450, 'Left_wheel_dist': 1923, 'Right_wheel_dist': 1881, 'IMU_roll': 0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.98, 'IMU_Acc_y': -1.38, 'IMU_Acc_z': 10.79}
{'Time': 13556, 'Left_wheel_dist': 1977, 'Right_wheel_dist': 1929, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 5.32, 'IMU_Acc_x': 1.27, 'IMU_Acc_y': 0.52, 'IMU_Acc_z': 5.84}
{'Time': 13651, 'Left_wheel_dist': 2027, 'Right_wheel_dist': 1979, 'IMU_roll': 0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 5.48, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': -0.57, 'IMU_Acc_z': 10.64}
{'Time': 13748, 'Left_wheel_dist': 2075, 'Right_wheel_dist': 2032, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.63, 'IMU_Acc_x': 1.02, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 10.12}
{'Time': 13854, 'Left_wheel_dist': 2130, 'Right_wheel_dist': 2082, 'IMU_roll': 0.00, 'IMU_pitch': 0.10, 'IMU_yaw': 5.80, 'IMU_Acc_x': 1.35, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 8.83}
{'Time': 13952, 'Left_wheel_dist': 2178, 'Right_wheel_dist': 2128, 'IMU_roll': 0.01, 'IMU_pitch': 0.12, 'IMU_yaw': 5.96, 'IMU_Acc_x': 1.35, 'IMU_Acc_y': -0.51, 'IMU_Acc_z': 8.80}
{'Time': 14049, 'Left_wheel_dist': 2228, 'Right_wheel_dist': 2176, 'IMU_roll': 0.01, 'IMU_pitch': 0.12, 'IMU_yaw': 6.13, 'IMU_Acc_x': 1.08, 'IMU_Acc_y': -0.97, 'IMU_Acc_z': 6.77}
