Fri Jul 31 19:14:37 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 11951, 'Left_wheel_dist': -1184, 'Right_wheel_dist': -1646, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.84}
{'Time': 12048, 'Left_wheel_dist': -1234, 'Right_wheel_dist': -1432, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.64}
{'Time': 12155, 'Left_wheel_dist': -1288, 'Right_wheel_dist': -1436, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.98}
{'Time': 12253, 'Left_wheel_dist': -1338, 'Right_wheel_dist': -1441, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.99}
{'Time': 12351, 'Left_wheel_dist': -1386, 'Right_wheel_dist': -1382, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.87}
{'Time': 12449, 'Left_wheel_dist': -1439, 'Right_wheel_dist': -1334, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.21}
{'Time': 12556, 'Left_wheel_dist': -1491, 'Right_wheel_dist': -1286, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 10.18}
{'Time': 12654, 'Left_wheel_dist': -1543, 'Right_wheel_dist': -1249, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.38}
{'Time': 12752, 'Left_wheel_dist': -1591, 'Right_wheel_dist': -1247, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 10.14}
{'Time': 12849, 'Left_wheel_dist': -1641, 'Right_wheel_dist': -1260, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 10.28}
{'Time': 12955, 'Left_wheel_dist': -1692, 'Right_wheel_dist': -1279, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 8.83}
{'Time': 13052, 'Left_wheel_dist': -1742, 'Right_wheel_dist': -1441, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 8.47}
{'Time': 13151, 'Left_wheel_dist': -1790, 'Right_wheel_dist': -1430, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.05}
{'Time': 13249, 'Left_wheel_dist': -1842, 'Right_wheel_dist': -1441, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.34}
{'Time': 13357, 'Left_wheel_dist': -1894, 'Right_wheel_dist': -1471, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.85}
{'Time': 13454, 'Left_wheel_dist': -1947, 'Right_wheel_dist': -1604, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 10.17}
{'Time': 13552, 'Left_wheel_dist': -1993, 'Right_wheel_dist': -1596, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 10.11}
{'Time': 13649, 'Left_wheel_dist': -2045, 'Right_wheel_dist': -1637, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.53}
{'Time': 13756, 'Left_wheel_dist': -2095, 'Right_wheel_dist': -1639, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.58}
{'Time': 13853, 'Left_wheel_dist': -2145, 'Right_wheel_dist': -1652, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.72}
{'Time': 13950, 'Left_wheel_dist': -2191, 'Right_wheel_dist': -1785, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.99}
{'Time': 14055, 'Left_wheel_dist': -2245, 'Right_wheel_dist': -1798, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 11.38}
{'Time': 14152, 'Left_wheel_dist': -2293, 'Right_wheel_dist': -1792, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 10.20}
{'Time': 14251, 'Left_wheel_dist': -2346, 'Right_wheel_dist': -1812, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 10.21}
{'Time': 14358, 'Left_wheel_dist': -2396, 'Right_wheel_dist': -1855, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.87}
{'Time': 14455, 'Left_wheel_dist': -2446, 'Right_wheel_dist': -1905, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.78}
{'Time': 14553, 'Left_wheel_dist': -2494, 'Right_wheel_dist': -1960, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.77}
{'Time': 14659, 'Left_wheel_dist': -2546, 'Right_wheel_dist': -1999, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.74}
{'Time': 14755, 'Left_wheel_dist': -2592, 'Right_wheel_dist': -1990, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.96}
{'Time': 14853, 'Left_wheel_dist': -2645, 'Right_wheel_dist': -2019, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.88}
{'Time': 14950, 'Left_wheel_dist': -2692, 'Right_wheel_dist': -2060, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.86}
{'Time': 15057, 'Left_wheel_dist': -2749, 'Right_wheel_dist': -2093, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.08, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.93}
{'Time': 15155, 'Left_wheel_dist': -2795, 'Right_wheel_dist': -2174, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.93}
{'Time': 15253, 'Left_wheel_dist': -2843, 'Right_wheel_dist': -2189, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.67}
{'Time': 15351, 'Left_wheel_dist': -2891, 'Right_wheel_dist': -2213, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 10.12}
{'Time': 15458, 'Left_wheel_dist': -2943, 'Right_wheel_dist': -2254, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.71}
{'Time': 15554, 'Left_wheel_dist': -2991, 'Right_wheel_dist': -2296, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.66}
{'Time': 15651, 'Left_wheel_dist': -3041, 'Right_wheel_dist': -2355, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 10.28}
{'Time': 15758, 'Left_wheel_dist': -3096, 'Right_wheel_dist': -2394, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 10.09}
{'Time': 15856, 'Left_wheel_dist': -3146, 'Right_wheel_dist': -2431, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 10.06}
